date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:11:47	12932/12932	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/index.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/index.html	(from )
22:11:48	708/708	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Jul%202022%2021:11:45%20GMT	http://ngetemplates.com/robots.txt		(from )
22:11:48	154427/154427	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/css/materialize.css	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/css/materialize.css	(from http://ngetemplates.com/dark/dark/index.html)
22:11:48	29062/29062	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/font-awesome/css/font-awesome.min.css	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/font-awesome/css/font-awesome.min.css	(from http://ngetemplates.com/dark/dark/index.html)
22:11:48	7279/7279	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/css/normalize.css	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/css/normalize.css	(from http://ngetemplates.com/dark/dark/index.html)
22:11:49	1476/1476	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/css/owl.carousel.css	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/css/owl.carousel.css	(from http://ngetemplates.com/dark/dark/index.html)
22:11:49	1665/1665	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/css/owl.theme.css	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/css/owl.theme.css	(from http://ngetemplates.com/dark/dark/index.html)
22:11:49	4476/4476	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/css/owl.transitions.css	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/css/owl.transitions.css	(from http://ngetemplates.com/dark/dark/index.html)
22:11:49	8372/8372	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/css/fakeLoader.css	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/css/fakeLoader.css	(from http://ngetemplates.com/dark/dark/index.html)
22:11:50	18582/18582	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/css/style.css	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/css/style.css	(from http://ngetemplates.com/dark/dark/index.html)
22:11:50	547/547	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/favicon.png	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/favicon.png	(from http://ngetemplates.com/dark/dark/index.html)
22:11:50	5963/5963	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/contact.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/contact.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:50	7227/7227	---M--	200	added ('OK')	image/jpeg	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/img/profile.jpg	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/img/profile.jpg	(from http://ngetemplates.com/dark/dark/index.html)
22:11:51	8414/8414	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/home-portfolio.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/home-portfolio.html	(from http://ngetemplates.com/dark/dark/index.html)
22:11:51	7092/7092	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2013:43:06%20GMT	http://ngetemplates.com/dark/dark/home-shop.html	G:/Templates/Foodtsamp-Mobile/ngetemplates.com/dark/dark/home-shop.html	(from http://ngetemplates.com/dark/dark/index.html)
